                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5434,                 3.6293,                 2.6923,                0.79014,                0.72733,                0.81639,                0.53941,                 2.2997,                 1.9043,                 2.4599,             0.00023787,             0.00023787,             0.00023787
                      2,                  2.331,                 1.9641,                 2.4981,                0.83917,                0.82066,                0.89654,                0.63293,                 2.1148,                 1.4068,                 2.3291,             0.00024031,             0.00024031,             0.00024031
